time;temp
9480;-0.23
9540;-0.45
9600;-0.32
9660;-0.41
9720;-0.25
9780;-0.25
9840;-0.29
9900;-0.24
9960;-0.27
10020;-0.22
10080;-0.43
10140;-0.43
10200;-0.34
10260;-0.22
10320;-0.28
10380;-0.21
10440;-0.18
10500;-0.18
10560;-0.12
10620;-0.1
10680;-0.17
10740;-0.14
10800;-0.22
10860;-0.12
10920;-0.26
10980;-0.3
11040;-0.16
11100;-0.11
11160;-0.03
11220;-0.05
11280;-0.07
11340;0.06
11400;-0.04
11460;-0.04
11520;-0.15
11580;-0.16
11640;-0.13
11700;-0.02
11760;-0.01
11820;-0.11
11880;-0.02
11940;-0.09
12000;-0.08
12060;-0.12
12120;-0.17
12180;-0.2
12240;-0.02
12300;-0.3
12360;-0.51
12420;-0.3
12480;-0.3
12540;-0.19
12600;-0.23
12660;-0.27
12720;-0.21
12780;-0.34
12840;-0.38
12900;-0.23
12960;-0.17
13020;-0.39
13080;-0.37
13140;-0.21
13200;-0.24
13260;-0.32
13320;-0.17
13380;-0.08
13440;-0.05
13500;-0.04
13560;0.13
13620;-0.26
13680;-0.36
13740;-0.05
13800;0.01
13860;-0.08
13920;-0.09
13980;-0.09
14040;-0.13
14100;-0.09
14160;-0.05
14220;0.1
14280;-0.06
14340;-0.06
14400;-0.21
14460;-0.11
14520;0.06
14580;-0.03
14640;-0.15
14700;-0.11
14760;-0.14
14820;-0.2
14880;-0.22
14940;-0.29
15000;-0.18
15060;-0.28
15120;-0.18
15180;-0.06
15240;-0.27
15300;-0.28
15360;-0.32
15420;-0.3
15480;-0.28
15540;-0.3
15600;-0.29
15660;-0.29
15720;-0.35
15780;-0.41
15840;-0.23
15900;-0.05
15960;-0.22
16020;-0.4
16080;-0.39
16140;-0.42
16200;-0.35
16260;-0.45
16320;-0.49
16380;-0.48
16440;-0.43
16500;-0.51
16560;-0.64
16620;-0.58
16680;-0.48
16740;-0.5
16800;-0.52
16860;-0.48
16920;-0.51
16980;-0.49
17040;-0.56
17100;-0.39
17160;-0.17
17220;-0.33
17280;-0.35
17340;-0.59
17400;-0.22
17460;-0.33
17520;-0.29
17580;-0.28
17640;-0.26
17700;-0.2
17760;-0.19
17820;-0.25
17880;-0.07
17940;-0.13
18000;-0.28
18060;-0.29
18120;-0.18
18180;-0.05
18240;-0.26
18300;-0.2
18360;-0.23
18420;-0.2
18480;-0.28
18540;-0.2
18600;-0.38
18660;-0.15
18720;-0.43
18780;-0.51
18840;-0.27
18900;-0.37
18960;-0.46
19020;-0.42
19080;-0.35
19140;-0.33
19200;-0.34
19260;-0.22
19320;-0.46
19380;-0.46
19440;-0.44
19500;-0.33
19560;-0.55
19620;-0.44
19680;-0.37
19740;-0.38
19800;-0.34
19860;-0.46
19920;-0.35
19980;-0.43
20040;-0.52
20100;-0.49
20160;-0.72
20220;-0.46
20280;-0.54
20340;-0.58
20400;-0.54
20460;-0.52
20520;-0.45
20580;-0.33
20640;-0.39
20700;-0.39
20760;-0.32
20820;-0.56
20880;-0.42
20940;-0.4
21000;-0.5
21060;-0.42
21120;-0.33
21180;-0.38
21240;-0.34
21300;-0.36
21360;-0.39
21420;-0.41
21480;-0.55
21540;-0.68
21600;-0.63
21660;-0.58
21720;-0.62
21780;-0.54
21840;-0.51
21900;-0.5
21960;-0.41
22020;-0.44
22080;-0.41
22140;-0.27
22200;-0.21
22260;-0.22
22320;-0.27
22380;-0.16
22440;-0.39
22500;-0.18
22560;-0.22
22620;-0.24
22680;-0.42
22740;-0.55
22800;-0.58
22860;-0.58
22920;-0.39
22980;-0.43
23040;-0.4
23100;-0.44
23160;-0.42
23220;-0.39
23280;-0.43
23340;-0.45
23400;-0.36
23460;-0.33
23520;-0.34
23580;-0.32
23640;-0.19
23700;-0.02
23760;0.05
23820;-0.09
23880;-0.23
23940;-0.29
24000;-0.21
24060;-0.25
24120;-0.23
24180;-0.15
24240;-0.16
24300;-0.03
24360;-0.15
24420;-0.03
24480;-0.2
24540;-0.04
24600;-0.1
24660;0.07
24720;-0.06
24780;-0.22
24840;-0.13
24900;-0.22
24960;-0.2
25020;-0.24
25080;-0.13
25140;-0.22
25200;-0.12
25260;-0.14
25320;-0.28
25380;-0.3
25440;-0.34
25500;-0.49
25560;-0.37
25620;-0.28
25680;-0.36
25740;-0.34
25800;-0.46
25860;-0.82
25920;-0.57
25980;-0.63
26040;-0.63
26100;-0.55
26160;-0.55
26220;-0.44
26280;-0.26
26340;-0.22
